18/03/21 02:16:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/21 02:16:39 INFO client.RMProxy: Connecting to ResourceManager at cluster-2909-m/10.138.0.4:8032
18/03/21 02:16:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/21 02:16:44 INFO input.FileInputFormat: Total input files to process : 3035
18/03/21 02:16:44 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/21 02:16:45 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1521598375209_0001
18/03/21 02:16:46 INFO impl.YarnClientImpl: Submitted application application_1521598375209_0001
18/03/21 02:16:46 INFO mapreduce.Job: The url to track the job: http://cluster-2909-m:8088/proxy/application_1521598375209_0001/
18/03/21 02:16:46 INFO mapreduce.Job: Running job: job_1521598375209_0001
18/03/21 02:16:56 INFO mapreduce.Job: Job job_1521598375209_0001 running in uber mode : false
18/03/21 02:16:56 INFO mapreduce.Job:  map 0% reduce 0%
18/03/21 02:17:35 INFO mapreduce.Job:  map 1% reduce 0%
18/03/21 02:18:25 INFO mapreduce.Job:  map 2% reduce 0%
18/03/21 02:19:09 INFO mapreduce.Job:  map 3% reduce 0%
18/03/21 02:19:59 INFO mapreduce.Job:  map 4% reduce 0%
18/03/21 02:20:45 INFO mapreduce.Job:  map 5% reduce 0%
18/03/21 02:21:33 INFO mapreduce.Job:  map 6% reduce 0%
18/03/21 02:22:17 INFO mapreduce.Job:  map 7% reduce 0%
18/03/21 02:23:04 INFO mapreduce.Job:  map 8% reduce 0%
18/03/21 02:23:49 INFO mapreduce.Job:  map 9% reduce 0%
18/03/21 02:24:38 INFO mapreduce.Job:  map 10% reduce 0%
18/03/21 02:25:20 INFO mapreduce.Job:  map 11% reduce 0%
18/03/21 02:26:13 INFO mapreduce.Job:  map 12% reduce 0%
18/03/21 02:26:54 INFO mapreduce.Job:  map 13% reduce 0%
18/03/21 02:27:41 INFO mapreduce.Job:  map 14% reduce 0%
18/03/21 02:28:24 INFO mapreduce.Job:  map 15% reduce 0%
18/03/21 02:29:07 INFO mapreduce.Job:  map 16% reduce 0%
18/03/21 02:29:53 INFO mapreduce.Job:  map 17% reduce 0%
18/03/21 02:30:38 INFO mapreduce.Job:  map 18% reduce 0%
18/03/21 02:31:24 INFO mapreduce.Job:  map 19% reduce 0%
18/03/21 02:32:07 INFO mapreduce.Job:  map 20% reduce 0%
18/03/21 02:32:51 INFO mapreduce.Job:  map 21% reduce 0%
18/03/21 02:33:36 INFO mapreduce.Job:  map 22% reduce 0%
